ticker,sector,market_cap,gross_margin,roe,debt_to_equity,fcf
KMI,Energy,60462796800.0,0.49997002,0.08875,102.275,3006000000.0
KKR,Financial Services,140770689024.0,0.60527,0.07145,74.627,6508342000.0
KLAC,Technology,122078281728.0,0.60562,1.04097,152.049,3031191000.0
KHC,Consumer Defensive,33944072192.0,0.34576,0.0535,43.55,3020000000.0
KR,Consumer Defensive,45831331840.0,0.23811,0.24239,229.201,1777000000.0
LHX,Industrials,50416492544.0,0.25738,0.08926,62.776,2151000000.0
LH,Healthcare,21709852672.0,0.28144,0.092609994,77.108,1095900000.0
LRCX,Technology,126146813952.0,0.48056,0.53138,47.148,4255599000.0
LW,Consumer Defensive,8249404928.0,0.22847,0.20264,244.818,230100000.0
LVS,Consumer Cyclical,37090902016.0,0.79363,0.54145,693.252,1624000000.0
LDOS,Technology,20640092160.0,0.17228001,0.30945998,133.333,1243000000.0
LEN,Consumer Cyclical,29938683904.0,0.20584999,0.13258,19.683,2231876000.0
LII,Industrials,22986043392.0,0.33133,1.12944,171.66,782100000.0
LLY,Healthcare,729581092864.0,0.81697,0.77278,243.609,414300000.0
LIN,Basic Materials,222600708096.0,0.48257,0.17013,60.555,4926000000.0
LYV,Communication Services,35479658496.0,0.25536,0.68505996,393.218,1050019000.0
LKQ,Consumer Cyclical,8102156288.0,0.39214,0.11208,90.494,810000000.0
LMT,Industrials,98368135168.0,0.08254,0.73056,405.662,5287000000.0
L,Financial Services,18956607488.0,0.36301997,0.07998,49.606,2393000000.0
LOW,Consumer Cyclical,128895139840.0,0.33365002,,,7698000000.0
LULU,Consumer Cyclical,25958526976.0,0.59339,0.42488998,39.789,1583481000.0
LYB,Basic Materials,20209633280.0,0.10105,0.07437,103.883,1980000000.0
MTB,Financial Services,30390687744.0,0.0,0.094890006,,3394000000.0
MPC,Energy,53701009408.0,0.0867,0.15524,139.332,6132000000.0
MKTX,Financial Services,7787977728.0,0.62065,0.16254,5.259,328672000.0
MAR,Consumer Cyclical,75537776640.0,0.81891996,,,1999000000.0
MMC,Financial Services,101407285248.0,0.44215,0.28408,135.265,3986000000.0
MLM,Basic Materials,34717155328.0,0.29542,0.1187,63.926,604000000.0
MAS,Industrials,14238584832.0,0.36336,11.165561,,907000000.0
MA,Financial Services,516044849152.0,1.0,1.8770399,280.795,13586000000.0
MTCH,Communication Services,8474993152.0,0.71917,,,882141000.0
MKC,Consumer Defensive,19218333696.0,0.38542998,0.14122,79.122,647000000.0
MCD,Consumer Cyclical,213952184320.0,0.56825,,,6672000000.0
MCK,Healthcare,88217198592.0,0.03571,,,5226000000.0
MDT,Healthcare,117837488128.0,0.65392995,0.09508,61.393,5185000000.0
MRK,Healthcare,211077169152.0,0.7707,0.39293,71.992,18096000000.0
META,Communication Services,1804358778880.0,0.81767,0.39835,26.763,54072000000.0
MET,Financial Services,52133003264.0,0.25799,0.15982,172.754,14598000000.0
MTD,Healthcare,26207735808.0,0.60137004,,,864448000.0
MGM,Consumer Cyclical,10494065664.0,0.45415002,0.2582,880.101,1211906000.0
MCHP,Technology,38063276032.0,0.56068003,-7e-05,81.675,772100000.0
MU,Technology,124514328576.0,0.37133998,0.13109,31.948,121000000.0
MSFT,Technology,3809176715264.0,0.69074994,0.3361,32.626,74071000000.0
MAA,Real Estate,17939623936.0,0.59199,0.09368,82.626,775920000.0
MRNA,Healthcare,13114421248.0,-0.82373,-0.29341,7.401,-4055000000.0
MHK,Consumer Cyclical,7502964224.0,0.25296,0.05947,31.685,679500000.0
MOH,Healthcare,8899098624.0,0.11387999,0.23924999,77.406,544000000.0
TAP,Consumer Defensive,10101460992.0,0.39001998,0.07989,49.065,1236200000.0
MDLZ,Consumer Defensive,90093576192.0,0.32736,0.13302,78.051,3523000000.0
MPWR,Technology,35361771520.0,0.55374,0.67946,0.543,642292000.0
MNST,Consumer Defensive,58719563776.0,0.5464,0.20004,3.998,1622099000.0
MCO,Financial Services,91024695296.0,0.7278,0.5302,179.869,2521000000.0
MS,Financial Services,227810869248.0,0.86474997,,416.642,-2100000000.0
MOS,Basic Materials,11559897088.0,0.14471,0.03285,40.476,47400000.0
MSI,Technology,71768875008.0,0.51424,1.86885,393.309,2134000000.0
MSCI,Financial Services,42766708736.0,0.82181,,,1386509000.0
NDAQ,Financial Services,54590857216.0,0.60597,0.13254,81.977,1732000000.0
NTAP,Technology,21421129728.0,0.70192003,1.08509,335.673,1338000000.0
NFLX,Communication Services,499118080000.0,0.48491,0.43548,67.866,6921826000.0
NEM,Basic Materials,72222900224.0,0.55694,0.20285,23.561,2961000000.0
NWSA,Communication Services,17377142784.0,0.51948,0.067150004,32.188,602000000.0
NWS,Communication Services,17487360000.0,0.51948,0.067150004,32.188,602000000.0
NEE,Utilities,146909741056.0,0.61974996,0.07592,152.939,4746000000.0
NKE,Consumer Cyclical,117029552128.0,0.42735,0.23290001,83.41,3268000000.0
NI,Utilities,19425912832.0,0.51035,0.09364,136.355,-861500000.0
NDSN,Industrials,12396922880.0,0.54785,0.15536,78.487,491783000.0
NSC,Industrials,64571674624.0,0.49488,0.24542,122.314,1671000000.0
NTRS,Financial Services,24818216960.0,0.0,0.13585,,-1231500000.0
NOC,Industrials,81416724480.0,0.19328,0.26501,116.903,2621000000.0
NCLH,Consumer Cyclical,10669751296.0,0.40471,0.95873,1045.053,838871000.0
NRG,Utilities,30996154368.0,0.21468,0.44912997,395.715,1816000000.0
NUE,Basic Materials,33348136960.0,0.10524,0.074039996,37.319,806000000.0
NVDA,Technology,4310508240896.0,0.70107,1.15463,12.267,60853000000.0
NVR,Consumer Cyclical,21782632448.0,0.24320999,0.38102,26.758,1345250000.0
NXPI,Technology,57605758976.0,0.557,0.22695999,115.519,1906000000.0
ORLY,Consumer Cyclical,82785107968.0,0.51397,,,2026189000.0
OXY,Energy,44827258880.0,0.64095,0.0949,74.026,4421000000.0
ODFL,Industrials,34724925440.0,0.39749,0.26593,1.416,887965000.0
OMC,Communication Services,14457547776.0,0.18574,0.28959,129.382,1592900000.0
ON,Technology,24513132544.0,0.39853,0.07852,45.383,1212400000.0
OKE,Energy,51101143040.0,0.35621,0.16409001,144.846,2867000000.0
ORCL,Technology,695775264768.0,0.7051,0.82382005,519.586,-394000000.0
OTIS,Industrials,34498551808.0,0.30244,,,1437000000.0
PCAR,Industrials,52831875072.0,0.15719,0.16771,93.267,2895300000.0
PKG,Consumer Cyclical,18372116480.0,0.22172001,,62.289,521500000.0
PLTR,Technology,372582580224.0,0.8001,0.12357,4.432,1141231000.0
PANW,Technology,136360599552.0,0.73561996,0.21162,11.147,3100800000.0
PARA,Communication Services,9203827712.0,0.32584,-0.27754998,91.724,489000000.0
PH,Industrials,94435606528.0,0.36653,0.27146998,69.948,2984217000.0
PAYX,Technology,52689285120.0,0.72353,0.41804,122.209,1709100000.0
PAYC,Technology,13244777472.0,0.85892,0.24987,4.746,336600000.0
